fold,avg_standardized_mean_diff,avg_std_ratio_deviation,avg_ks_statistic,max_ks_statistic,avg_normalized_wasserstein,mean_abs_corr_gap
1,0.02400207970132318,0.03168308278781472,0.06608058608058608,0.14065934065934066,0.1006085848071399,0.03147155223337175
2,0.027723646327952652,0.030424734797891928,0.062490842490842496,0.0989010989010989,0.09867994050493283,0.027180281775659707
3,0.02099305908567654,0.03367696836125952,0.06366300366300368,0.13406593406593406,0.09970041445453022,0.02885943330783224
4,0.040364613464475244,0.02045585645413609,0.06901098901098902,0.11648351648351649,0.10855243020261016,0.025863925425917457
5,0.02446736677738969,0.03291494481980334,0.059137426900584794,0.10087719298245613,0.09152921930057188,0.029089020082737338
