model,setting,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Logistic Regression,TRTR,0.9736686849868033,0.01858979957686633,0.9794339645403476,0.014227476627036767,0.9953143278274297,0.005976224138410543
Logistic Regression,TSTR,0.9771774569166279,0.015917937486832758,0.9822168929311786,0.01221573358589553,0.9957579456064553,0.0044418849797042675
Random Forest,TRTR,0.9508150908244062,0.015867089988271226,0.9610446843848693,0.012401765260200696,0.9899731507043986,0.009335506551792612
Random Forest,TSTR,0.9525539512498058,0.007804267285229813,0.9623699745492142,0.006047650677239518,0.991550682215602,0.005973719137628494
