candidate_type,distance_to_nearest_synthetic,membership_score
train,1.7142538645451681,-1.7142538645451681
train,2.726530520216858,-2.726530520216858
train,1.9535732550224847,-1.9535732550224847
train,1.5180730307118193,-1.5180730307118193
train,1.5971985669825772,-1.5971985669825772
train,2.9831516721873035,-2.9831516721873035
train,2.1418840211668217,-2.1418840211668217
train,5.739892122624633,-5.739892122624633
train,4.500296511234479,-4.500296511234479
train,1.9479401902606792,-1.9479401902606792
train,1.3834262862800806,-1.3834262862800806
train,1.474738321286111,-1.474738321286111
train,2.7801319780669007,-2.7801319780669007
train,1.4007478502836956,-1.4007478502836956
train,2.601724670880202,-2.601724670880202
train,2.43776574687835,-2.43776574687835
train,2.355469626047303,-2.355469626047303
train,1.9127179368582286,-1.9127179368582286
train,1.5804184384457902,-1.5804184384457902
train,2.633172101218819,-2.633172101218819
train,1.7973015202725318,-1.7973015202725318
train,2.1687411287208027,-2.1687411287208027
train,2.4343167007299717,-2.4343167007299717
train,2.610049847501649,-2.610049847501649
train,2.76288612034213,-2.76288612034213
train,2.1281656696645097,-2.1281656696645097
train,1.8755071994199193,-1.8755071994199193
train,4.5706966714253445,-4.5706966714253445
train,2.6624102367619242,-2.6624102367619242
train,2.465269693437043,-2.465269693437043
train,3.8601325619937708,-3.8601325619937708
train,3.439179522003807,-3.439179522003807
train,1.7568132330681903,-1.7568132330681903
train,1.963746473846182,-1.963746473846182
train,8.22918904322227,-8.22918904322227
train,2.216609403384926,-2.216609403384926
train,3.8266018087792273,-3.8266018087792273
train,2.8190132252786877,-2.8190132252786877
train,3.227976944754319,-3.227976944754319
train,3.0184808569061214,-3.0184808569061214
train,1.37260765604804,-1.37260765604804
train,2.65446802342524,-2.65446802342524
train,3.201920304039758,-3.201920304039758
train,1.9352422638169546,-1.9352422638169546
train,2.1547441656851802,-2.1547441656851802
train,2.119269640383872,-2.119269640383872
train,1.8397453125188348,-1.8397453125188348
train,2.323395506708448,-2.323395506708448
train,1.6662470367840359,-1.6662470367840359
train,2.0773311374189536,-2.0773311374189536
train,3.107553496541636,-3.107553496541636
train,2.6495556989274176,-2.6495556989274176
train,2.6667541602487796,-2.6667541602487796
train,1.7621646917046399,-1.7621646917046399
train,1.7491715927786078,-1.7491715927786078
train,1.7811209592035735,-1.7811209592035735
train,2.0858812963110345,-2.0858812963110345
train,3.2541979954888185,-3.2541979954888185
train,2.0884097944068887,-2.0884097944068887
train,2.495695165037302,-2.495695165037302
train,2.381740383846681,-2.381740383846681
train,1.3074386840526395,-1.3074386840526395
train,3.0696938235610562,-3.0696938235610562
train,3.895370820108348,-3.895370820108348
train,3.0643994826554106,-3.0643994826554106
train,1.8076968843938923,-1.8076968843938923
train,5.031337525292136,-5.031337525292136
train,2.0277438633837366,-2.0277438633837366
train,1.7556267326199169,-1.7556267326199169
train,2.652335705443853,-2.652335705443853
train,2.0242052573200815,-2.0242052573200815
train,1.6659844939993929,-1.6659844939993929
train,1.5322225270263294,-1.5322225270263294
train,2.6674173592195527,-2.6674173592195527
train,1.6403314455296296,-1.6403314455296296
train,2.1687873523258276,-2.1687873523258276
train,2.1933620935506792,-2.1933620935506792
train,1.8594605305313592,-1.8594605305313592
train,2.094759575633178,-2.094759575633178
train,3.2385931045805068,-3.2385931045805068
train,4.031900236766941,-4.031900236766941
train,2.2442063537300787,-2.2442063537300787
train,2.886488446156281,-2.886488446156281
train,2.8581199680329354,-2.8581199680329354
train,2.2693079641613694,-2.2693079641613694
train,2.872221978849599,-2.872221978849599
train,3.637281024633655,-3.637281024633655
train,2.7798118389853026,-2.7798118389853026
train,2.08991438146616,-2.08991438146616
train,3.4970779756090487,-3.4970779756090487
train,4.050462906663387,-4.050462906663387
train,3.098045016204231,-3.098045016204231
train,2.8091222765422272,-2.8091222765422272
train,2.596861882828653,-2.596861882828653
train,1.5487401922236104,-1.5487401922236104
train,2.5564628961485285,-2.5564628961485285
train,1.7870500947465926,-1.7870500947465926
train,3.133928165173539,-3.133928165173539
train,1.8510148243353255,-1.8510148243353255
train,3.3281202328250736,-3.3281202328250736
train,3.2760109559686916,-3.2760109559686916
train,3.2059762420492186,-3.2059762420492186
train,3.2426257875099975,-3.2426257875099975
train,3.7337921381835,-3.7337921381835
train,2.3738672167213215,-2.3738672167213215
train,1.7147966024189316,-1.7147966024189316
train,1.9048016713155023,-1.9048016713155023
train,3.547292270709124,-3.547292270709124
train,2.0464468239338824,-2.0464468239338824
train,1.84296554237702,-1.84296554237702
train,2.891192265016752,-2.891192265016752
train,2.6570343197972486,-2.6570343197972486
train,4.022752028686788,-4.022752028686788
train,2.835051456634635,-2.835051456634635
train,4.661540711254575,-4.661540711254575
train,2.469090863526514,-2.469090863526514
train,1.6643451439459502,-1.6643451439459502
train,2.666688577041634,-2.666688577041634
train,4.563012379963901,-4.563012379963901
train,2.0720853063012443,-2.0720853063012443
train,1.5154522958145322,-1.5154522958145322
train,1.8572051350343115,-1.8572051350343115
train,1.7815880279499317,-1.7815880279499317
train,4.451626787970098,-4.451626787970098
train,1.7668378041395427,-1.7668378041395427
train,2.571400770729913,-2.571400770729913
train,3.014175596477475,-3.014175596477475
train,1.4691842121131453,-1.4691842121131453
train,2.974211189881954,-2.974211189881954
train,1.7050836355896097,-1.7050836355896097
train,1.9631016169372995,-1.9631016169372995
train,1.7173525934528777,-1.7173525934528777
train,2.495198257547438,-2.495198257547438
train,1.7931319449542422,-1.7931319449542422
train,1.6807007604008062,-1.6807007604008062
train,2.383747285853409,-2.383747285853409
train,2.61855338731053,-2.61855338731053
train,2.489692782027026,-2.489692782027026
train,2.4851190254690287,-2.4851190254690287
train,1.79557672612436,-1.79557672612436
train,3.0606318768490026,-3.0606318768490026
train,1.9990242510616145,-1.9990242510616145
train,1.4213029019059835,-1.4213029019059835
train,2.686635529481353,-2.686635529481353
train,1.779777235537666,-1.779777235537666
train,2.48879643399792,-2.48879643399792
train,1.2721755544213533,-1.2721755544213533
train,4.7402988771381365,-4.7402988771381365
train,2.2262198843378536,-2.2262198843378536
train,2.27930417679959,-2.27930417679959
train,1.9505989001610775,-1.9505989001610775
train,2.6686518309153646,-2.6686518309153646
train,1.6437267977860652,-1.6437267977860652
train,7.547551584301905,-7.547551584301905
train,3.4530231281302375,-3.4530231281302375
train,2.2115147779431985,-2.2115147779431985
train,1.7048610133861903,-1.7048610133861903
train,2.5893071815649025,-2.5893071815649025
train,2.472754557386304,-2.472754557386304
train,1.69447726552005,-1.69447726552005
train,3.05251481800317,-3.05251481800317
train,3.099520907960066,-3.099520907960066
train,2.616808156004387,-2.616808156004387
train,1.4225153145887328,-1.4225153145887328
train,6.901205379986037,-6.901205379986037
train,3.051272155067832,-3.051272155067832
train,1.691494438307042,-1.691494438307042
train,2.7497737206226502,-2.7497737206226502
train,2.4073671120853875,-2.4073671120853875
train,3.4330015005689023,-3.4330015005689023
train,1.5688838856956666,-1.5688838856956666
train,2.4286313760099976,-2.4286313760099976
train,2.560004269563638,-2.560004269563638
train,2.1300125874806644,-2.1300125874806644
train,2.409029371723512,-2.409029371723512
train,1.5245767205065712,-1.5245767205065712
train,5.063989153782228,-5.063989153782228
train,1.501652188484241,-1.501652188484241
train,5.6503893698444525,-5.6503893698444525
train,1.8936029819046225,-1.8936029819046225
train,2.95573190436325,-2.95573190436325
train,2.3878134547095864,-2.3878134547095864
train,2.220869398139245,-2.220869398139245
train,3.236639658870334,-3.236639658870334
train,2.627500198764142,-2.627500198764142
train,6.9606092647606035,-6.9606092647606035
train,2.298443577190758,-2.298443577190758
train,2.0156568275817115,-2.0156568275817115
train,2.305466934334397,-2.305466934334397
train,2.0991063014847633,-2.0991063014847633
train,1.824900052814221,-1.824900052814221
train,1.7826974542585052,-1.7826974542585052
train,2.951938652124925,-2.951938652124925
train,1.9168899275094162,-1.9168899275094162
train,3.126619964390167,-3.126619964390167
train,2.5691457430214055,-2.5691457430214055
train,2.4960933970213257,-2.4960933970213257
train,2.462143936565976,-2.462143936565976
train,2.705041082493422,-2.705041082493422
train,2.5711090565460375,-2.5711090565460375
train,2.2834432411995773,-2.2834432411995773
train,1.479893984772128,-1.479893984772128
train,4.162220104770669,-4.162220104770669
train,2.987139106081588,-2.987139106081588
train,1.9276537395746836,-1.9276537395746836
train,2.6676026529233483,-2.6676026529233483
train,1.3520760319345468,-1.3520760319345468
train,1.5990511233801392,-1.5990511233801392
train,2.7708163544258615,-2.7708163544258615
train,1.7133029684107064,-1.7133029684107064
train,2.059274635207131,-2.059274635207131
train,1.6118131556660336,-1.6118131556660336
train,2.0187425991365417,-2.0187425991365417
train,2.0036299425709947,-2.0036299425709947
train,1.8923128590713358,-1.8923128590713358
train,2.5446070002851116,-2.5446070002851116
train,2.745106113058596,-2.745106113058596
train,2.792728192139482,-2.792728192139482
train,3.747690794865032,-3.747690794865032
train,1.4417920846414403,-1.4417920846414403
train,1.708124591246712,-1.708124591246712
train,1.7332312731436352,-1.7332312731436352
train,1.7576725488872138,-1.7576725488872138
train,2.702091891372501,-2.702091891372501
train,1.793701280821492,-1.793701280821492
train,2.605597518955517,-2.605597518955517
train,2.4715213587565734,-2.4715213587565734
train,3.8522326937696736,-3.8522326937696736
train,3.051500109190699,-3.051500109190699
train,1.6079468503662593,-1.6079468503662593
train,2.1759723226020715,-2.1759723226020715
train,1.5622202904380227,-1.5622202904380227
train,2.98099897410473,-2.98099897410473
train,1.7103502856033246,-1.7103502856033246
train,1.2872829340915035,-1.2872829340915035
train,1.7304612378431916,-1.7304612378431916
train,2.415557236347301,-2.415557236347301
train,1.8772493722815446,-1.8772493722815446
train,3.770754928616216,-3.770754928616216
train,1.76992023447784,-1.76992023447784
train,4.756913846448334,-4.756913846448334
train,1.8613419833545086,-1.8613419833545086
train,1.5760570078333216,-1.5760570078333216
train,4.423755224114478,-4.423755224114478
train,2.423019091835863,-2.423019091835863
train,2.260834092725646,-2.260834092725646
train,2.4196855668074746,-2.4196855668074746
train,1.8062986425590923,-1.8062986425590923
train,1.8821862567627037,-1.8821862567627037
train,2.6438576398458555,-2.6438576398458555
train,3.132718048680948,-3.132718048680948
train,2.4786253702053185,-2.4786253702053185
train,3.0748319133730804,-3.0748319133730804
train,4.8862138165037345,-4.8862138165037345
train,1.976427520044969,-1.976427520044969
train,1.930909130889639,-1.930909130889639
train,2.150734046215423,-2.150734046215423
train,1.9670140360598656,-1.9670140360598656
train,2.5589034330123805,-2.5589034330123805
train,2.606594337720319,-2.606594337720319
train,2.3285513534166866,-2.3285513534166866
train,1.6205834280317097,-1.6205834280317097
train,1.7330003694807443,-1.7330003694807443
train,2.6085673318535756,-2.6085673318535756
train,2.308790928157396,-2.308790928157396
train,1.7633706450170157,-1.7633706450170157
train,1.4521122218205345,-1.4521122218205345
train,1.7938770563569253,-1.7938770563569253
train,1.76978988571775,-1.76978988571775
train,1.4093087317885937,-1.4093087317885937
train,1.9267039594864492,-1.9267039594864492
train,2.651571126477203,-2.651571126477203
train,2.2033426989876657,-2.2033426989876657
train,2.8624151243783826,-2.8624151243783826
train,4.217227455457961,-4.217227455457961
train,3.272330728292542,-3.272330728292542
train,2.9513342408616,-2.9513342408616
train,2.7625580539635113,-2.7625580539635113
train,2.417640831668356,-2.417640831668356
train,1.8266692266579583,-1.8266692266579583
train,1.3499961054464389,-1.3499961054464389
train,2.1056796189125992,-2.1056796189125992
train,2.5935930531959497,-2.5935930531959497
train,1.7695056232757442,-1.7695056232757442
train,3.3046036307219078,-3.3046036307219078
train,2.3669783506869595,-2.3669783506869595
train,1.9544036306799248,-1.9544036306799248
train,2.1708621822665592,-2.1708621822665592
train,1.7502332908949128,-1.7502332908949128
train,1.657931385481013,-1.657931385481013
train,1.9378446113827315,-1.9378446113827315
train,1.533133927419373,-1.533133927419373
train,8.049805139203679,-8.049805139203679
train,2.5563381352463876,-2.5563381352463876
train,2.3923649337189437,-2.3923649337189437
train,3.4037737156377763,-3.4037737156377763
train,2.557588628493994,-2.557588628493994
train,3.674887003640548,-3.674887003640548
train,3.148958103194562,-3.148958103194562
train,1.7427388251938118,-1.7427388251938118
train,1.8683721535439801,-1.8683721535439801
train,1.8053800306237402,-1.8053800306237402
train,2.873814814247735,-2.873814814247735
train,5.109336210775732,-5.109336210775732
train,1.6249953759893623,-1.6249953759893623
train,1.7274888018615866,-1.7274888018615866
train,1.885372555990726,-1.885372555990726
train,2.094906646381334,-2.094906646381334
train,1.9741704655794283,-1.9741704655794283
train,1.995304858507657,-1.995304858507657
train,1.6957161607057964,-1.6957161607057964
train,2.429128118593887,-2.429128118593887
train,2.1650887242137102,-2.1650887242137102
train,1.964294644023785,-1.964294644023785
train,2.0976310000968943,-2.0976310000968943
train,1.5775846161449485,-1.5775846161449485
train,2.525077707246564,-2.525077707246564
train,3.5691542396684572,-3.5691542396684572
train,2.2005183755854483,-2.2005183755854483
train,1.8898703783418596,-1.8898703783418596
train,1.4729734629591118,-1.4729734629591118
