fold,exact_duplicate_rate,median_dcr_synthetic_to_train,median_dcr_test_to_train,mean_dcr_synthetic_to_train,mean_dcr_test_to_train,median_nndr_synthetic,share_synthetic_below_test_dcr_p01,share_synthetic_below_test_dcr_p05,test_dcr_p01,test_dcr_p05,membership_auc,membership_advantage,membership_best_balanced_accuracy,median_distance_train_to_synthetic,median_distance_test_to_synthetic,best_membership_threshold
1,0.0,2.3410643591910985,2.102970235179665,2.5415981182898015,2.4158956205017525,0.9332281487761582,0.002197802197802198,0.006593406593406593,1.0895425068535818,1.2482411515964884,0.5240408714092925,0.08473105841526885,0.5423655292076345,2.326846334611945,2.4456398387665397,-2.6221147912796434
2,0.0,2.4538384428939573,2.0707252048426357,2.5385660839338846,2.547409808932178,0.9290639259712438,0.017582417582417582,0.03736263736263736,1.2415460699075043,1.332448647749557,0.49340659340659343,0.05203393098129938,0.5260169654906497,2.373571670549262,2.248206431107901,-2.8735979784096664
3,0.0,2.4021411167685485,2.1260836953459106,2.5547189787172444,2.327335611664166,0.9375479974696088,0.004395604395604396,0.024175824175824177,1.1289266784484822,1.33692626107061,0.5036244457297089,0.046886446886446886,0.5234432234432234,2.3283244406388497,2.283549394384525,-2.0771606603595196
4,0.0,2.431694526354041,2.2275639567309256,2.5606022240299926,2.5578776175471116,0.924713187866965,0.02197802197802198,0.054945054945054944,1.2041808921994352,1.379925460223768,0.5633314054366686,0.1087333718912667,0.5543666859456333,2.3363358617843777,2.5575176999338662,-2.5174348964208306
5,0.0,2.4373493606350563,2.251440056262178,2.5308032490695895,2.5303964702363295,0.9355799850907321,0.0,0.021929824561403508,1.0432486685424676,1.3024364134487338,0.5390079180251515,0.1041375562800807,0.5520687781400404,2.3570161361536393,2.3768663625121422,-2.8204221937667397
